00001 A00     0 Cholera                                                      Cholera
00080 A158    1 Other respiratory tuberculosis, confirmed bacterio           Other respiratory tuberculosis, confirmed bacteriologically and histologically
00081 A159    1 Respiratory tuberculosis unspecified, confirmed ba           Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
00082 A16     0 Respiratory tuberculosis, not confirmed bacteriolo           Respiratory tuberculosis, not confirmed bacteriologically or histologically
00083 A160    1 Tuberculosis of lung, bacteriologically and histol           Tuberculosis of lung, bacteriologically and histologically negative
00084 A161    1 Tuberculosis of lung, bacteriological and histolog           Tuberculosis of lung, bacteriological and histological examination not done
00085 A162    1 Tuberculosis of lung, without mention of bacteriol           Tuberculosis of lung, without mention of bacteriological or histological confirmation
00086 A163    1 Tuberculosis of intrathoracic lymph nodes, without           Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation
00087 A164    1 Tuberculosis of larynx, trachea and bronchus, with           Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation
00088 A165    1 Tuberculous pleurisy, without mention of bacteriol           Tuberculous pleurisy, without mention of bacteriological or histological confirmation
00089 A167    1 Primary respiratory tuberculosis without mention o           Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
00090 A168    1 Other respiratory tuberculosis, without mention of           Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
00091 A169    1 Respiratory tuberculosis unspecified, without ment           Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
00092 A17     0 Tuberculosis of nervous system                               Tuberculosis of nervous system
00093 A170    1 Tuberculous meningitis                                       Tuberculous meningitis
00094 A171    1 Meningeal tuberculoma                                        Meningeal tuberculoma
00095 A178    1 Other tuberculosis of nervous system                         Other tuberculosis of nervous system
00096 A179    1 Tuberculosis of nervous system, unspecified                  Tuberculosis of nervous system, unspecified
00097 A18     0 Tuberculosis of other organs                                 Tuberculosis of other organs
00098 A180    1 Tuberculosis of bones and joints                             Tuberculosis of bones and joints
00099 A181    1 Tuberculosis of genito-urinary system                        Tuberculosis of genito-urinary system
00100 A182    1 Tuberculous peripheral lymphadenopathy                       Tuberculous peripheral lymphadenopathy
00101 A183    1 Tuberculosis of intestines, peritoneum and mesente           Tuberculosis of intestines, peritoneum and mesenteric glands
00102 A184    1 Tuberculosis of skin and subcutaneous tissue                 Tuberculosis of skin and subcutaneous tissue
00103 A185    1 Tuberculosis of eye                                          Tuberculosis of eye
00104 A186    1 Tuberculosis of ear                                          Tuberculosis of ear
00105 A187    1 Tuberculosis of adrenal glands                               Tuberculosis of adrenal glands
00106 A188    1 Tuberculosis of other specified organs                       Tuberculosis of other specified organs
00107 A19     0 Miliary tuberculosis                                         Miliary tuberculosis
00108 A190    1 Acute miliary tuberculosis of a single specified s           Acute miliary tuberculosis of a single specified site
00109 A191    1 Acute miliary tuberculosis of multiple sites                 Acute miliary tuberculosis of multiple sites
00110 A192    1 Acute miliary tuberculosis, unspecified                      Acute miliary tuberculosis, unspecified
00111 A198    1 Other miliary tuberculosis                                   Other miliary tuberculosis
00112 A199    1 Miliary tuberculosis, unspecified                            Miliary tuberculosis, unspecified
00113 A20     0 Plague                                                       Plague
00114 A200    1 Bubonic plague                                               Bubonic plague
00115 A201    1 Cellulocutaneous plague                                      Cellulocutaneous plague
00116 A202    1 Pneumonic plague                                             Pneumonic plague
00117 A203    1 Plague meningitis                                            Plague meningitis
00118 A207    1 Septicaemic plague                                           Septicaemic plague
00119 A208    1 Other forms of plague                                        Other forms of plague
00120 A209    1 Plague, unspecified                                          Plague, unspecified
00121 A21     0 Tularaemia                                                   Tularaemia
00122 A210    1 Ulceroglandular tularaemia                                   Ulceroglandular tularaemia
00123 A211    1 Oculoglandular tularaemia                                    Oculoglandular tularaemia
00124 A212    1 Pulmonary tularaemia                                         Pulmonary tularaemia
00125 A213    1 Gastro-intestinal tularaemia                                 Gastro-intestinal tularaemia
00126 A217    1 Generalised tularaemia                                       Generalised tularaemia
00127 A218    1 Other forms of tularaemia                                    Other forms of tularaemia
00128 A219    1 Tularaemia, unspecified                                      Tularaemia, unspecified
00129 A22     0 Anthrax                                                      Anthrax
00130 A220    1 Cutaneous anthrax                                            Cutaneous anthrax
00131 A221    1 Pulmonary anthrax                                            Pulmonary anthrax
00132 A222    1 Gastro-intestinal anthrax                                    Gastro-intestinal anthrax
00133 A227    1 Anthrax septicaemia                                          Anthrax septicaemia
00134 A228    1 Other forms of anthrax                                       Other forms of anthrax
00135 A229    1 Anthrax, unspecified                                         Anthrax, unspecified
00136 A23     0 Brucellosis                                                  Brucellosis
00137 A230    1 Brucellosis due to Brucella melitensis                       Brucellosis due to Brucella melitensis
00138 A231    1 Brucellosis due to Brucella abortus                          Brucellosis due to Brucella abortus
00139 A232    1 Brucellosis due to Brucella suis                             Brucellosis due to Brucella suis
00140 A233    1 Brucellosis due to Brucella canis                            Brucellosis due to Brucella canis
00141 A238    1 Other brucellosis                                            Other brucellosis
00142 A239    1 Brucellosis, unspecified                                     Brucellosis, unspecified
00143 A24     0 Glanders and melioidosis                                     Glanders and melioidosis
00144 A240    1 Glanders                                                     Glanders
00145 A241    1 Acute and fulminating melioidosis                            Acute and fulminating melioidosis
00146 A242    1 Subacute and chronic melioidosis                             Subacute and chronic melioidosis
00147 A243    1 Other melioidosis                                            Other melioidosis
00148 A244    1 Melioidosis, unspecified                                     Melioidosis, unspecified
00149 A25     0 Rat-bite fevers                                              Rat-bite fevers
00150 A250    1 Spirillosis                                                  Spirillosis
00151 A251    1 Streptobacillosis                                            Streptobacillosis
00152 A259    1 Rat-bite fever, unspecified                                  Rat-bite fever, unspecified
00153 A26     0 Erysipeloid                                                  Erysipeloid
00154 A260    1 Cutaneous erysipeloid                                        Cutaneous erysipeloid
00155 A267    1 Erysipelothrix septicaemia                                   Erysipelothrix septicaemia
00156 A268    1 Other forms of erysipeloid                                   Other forms of erysipeloid
00157 A269    1 Erysipeloid, unspecified                                     Erysipeloid, unspecified
00158 A27     0 Leptospirosis                                                Leptospirosis
00159 A270    1 Leptospirosis icterohaemorrhagica                            Leptospirosis icterohaemorrhagica
00160 A278    1 Other forms of leptospirosis                                 Other forms of leptospirosis
00161 A279    1 Leptospirosis, unspecified                                   Leptospirosis, unspecified
00162 A28     0 Other zoonotic bacterial diseases, not elsewhere c           Other zoonotic bacterial diseases, not elsewhere classified
00163 A280    1 Pasteurellosis                                               Pasteurellosis
00164 A281    1 Cat-scratch disease                                          Cat-scratch disease
00165 A282    1 Extraintestinal yersiniosis                                  Extraintestinal yersiniosis
00166 A288    1 Other specified zoonotic bacterial diseases, not e           Other specified zoonotic bacterial diseases, not elsewhere classified
00167 A289    1 Zoonotic bacterial disease, unspecified                      Zoonotic bacterial disease, unspecified
00168 A30     0 Leprosy [Hansen's disease]                                   Leprosy [Hansen's disease]
00169 A300    1 Indeterminate leprosy                                        Indeterminate leprosy
00170 A301    1 Tuberculoid leprosy                                          Tuberculoid leprosy
00171 A302    1 Borderline tuberculoid leprosy                               Borderline tuberculoid leprosy
00172 A303    1 Borderline leprosy                                           Borderline leprosy
00173 A304    1 Borderline lepromatous leprosy                               Borderline lepromatous leprosy
00174 A305    1 Lepromatous leprosy                                          Lepromatous leprosy
00175 A308    1 Other forms of leprosy                                       Other forms of leprosy
00176 A309    1 Leprosy, unspecified                                         Leprosy, unspecified
00177 A31     0 Infection due to other mycobacteria                          Infection due to other mycobacteria
00178 A310    1 Pulmonary mycobacterial infection                            Pulmonary mycobacterial infection
00179 A311    1 Cutaneous mycobacterial infection                            Cutaneous mycobacterial infection
00180 A318    1 Other mycobacterial infections                               Other mycobacterial infections
00181 A319    1 Mycobacterial infection, unspecified                         Mycobacterial infection, unspecified
00182 A32     0 Listeriosis                                                  Listeriosis
00183 A320    1 Cutaneous listeriosis                                        Cutaneous listeriosis
00184 A321    1 Listerial meningitis and meningoencephalitis                 Listerial meningitis and meningoencephalitis
00185 A327    1 Listerial septicaemia                                        Listerial septicaemia
00186 A328    1 Other forms of listeriosis                                   Other forms of listeriosis
00187 A329    1 Listeriosis, unspecified                                     Listeriosis, unspecified
00188 A33     1 Tetanus neonatorum                                           Tetanus neonatorum
00189 A34     1 Obstetrical tetanus                                          Obstetrical tetanus
00190 A35     1 Other tetanus                                                Other tetanus
00191 A36     0 Diphtheria                                                   Diphtheria
00192 A360    1 Pharyngeal diphtheria                                        Pharyngeal diphtheria
00193 A361    1 Nasopharyngeal diphtheria                                    Nasopharyngeal diphtheria
00194 A362    1 Laryngeal diphtheria                                         Laryngeal diphtheria
00195 A363    1 Cutaneous diphtheria                                         Cutaneous diphtheria
00196 A368    1 Other diphtheria                                             Other diphtheria
00197 A369    1 Diphtheria, unspecified                                      Diphtheria, unspecified
00198 A37     0 Whooping cough                                               Whooping cough
00199 A370    1 Whooping cough due to Bordetella pertussis                   Whooping cough due to Bordetella pertussis
00200 A371    1 Whooping cough due to Bordetella parapertussis               Whooping cough due to Bordetella parapertussis
00201 A378    1 Whooping cough due to other Bordetella species               Whooping cough due to other Bordetella species
00202 A379    1 Whooping cough, unspecified                                  Whooping cough, unspecified
00203 A38     1 Scarlet fever                                                Scarlet fever
00204 A39     0 Meningococcal infection                                      Meningococcal infection
00205 A390    1 Meningococcal meningitis                                     Meningococcal meningitis
00206 A391    1 Waterhouse-Friderichsen syndrome                             Waterhouse-Friderichsen syndrome
00207 A392    1 Acute meningococcaemia                                       Acute meningococcaemia
00208 A393    1 Chronic meningococcaemia                                     Chronic meningococcaemia
00209 A394    1 Meningococcaemia, unspecified                                Meningococcaemia, unspecified
00210 A395    1 Meningococcal heart disease                                  Meningococcal heart disease
00211 A398    1 Other meningococcal infections                               Other meningococcal infections
00212 A399    1 Meningococcal infection, unspecified                         Meningococcal infection, unspecified
00213 A40     0 Streptococcal septicaemia                                    Streptococcal septicaemia
00214 A400    1 Septicaemia due to streptococcus, group A                    Septicaemia due to streptococcus, group A
00215 A401    1 Septicaemia due to streptococcus, group B                    Septicaemia due to streptococcus, group B
00216 A402    1 Septicaemia due to streptococcus, group D                    Septicaemia due to streptococcus, group D
00217 A403    1 Septicaemia due to Streptococcus pneumoniae                  Septicaemia due to Streptococcus pneumoniae
00218 A408    1 Other streptococcal septicaemia                              Other streptococcal septicaemia
00219 A409    1 Streptococcal septicaemia, unspecified                       Streptococcal septicaemia, unspecified
00220 A41     0 Other septicaemia                                            Other septicaemia
00221 A410    1 Septicaemia due to Staphylococcus aureus                     Septicaemia due to Staphylococcus aureus
00222 A411    1 Septicaemia due to other specified staphylococcus            Septicaemia due to other specified staphylococcus
00223 A412    1 Septicaemia due to unspecified staphylococcus                Septicaemia due to unspecified staphylococcus
00224 A413    1 Septicaemia due to Haemophilus influenzae                    Septicaemia due to Haemophilus influenzae
00225 A414    1 Septicaemia due to anaerobes                                 Septicaemia due to anaerobes
00226 A415    1 Septicaemia due to other Gram-negative organisms             Septicaemia due to other Gram-negative organisms
00227 A418    1 Other specified septicaemia                                  Other specified septicaemia
00228 A419    1 Septicaemia, unspecified                                     Septicaemia, unspecified
00229 A42     0 Actinomycosis                                                Actinomycosis
00230 A420    1 Pulmonary actinomycosis                                      Pulmonary actinomycosis
00231 A421    1 Abdominal actinomycosis                                      Abdominal actinomycosis
00232 A422    1 Cervicofacial actinomycosis                                  Cervicofacial actinomycosis
00233 A427    1 Actinomycotic septicaemia                                    Actinomycotic septicaemia
00234 A428    1 Other forms of actinomycosis                                 Other forms of actinomycosis
00235 A429    1 Actinomycosis, unspecified                                   Actinomycosis, unspecified
00236 A43     0 Nocardiosis                                                  Nocardiosis
00237 A430    1 Pulmonary nocardiosis                                        Pulmonary nocardiosis
00238 A431    1 Cutaneous nocardiosis                                        Cutaneous nocardiosis
00239 A438    1 Other forms of nocardiosis                                   Other forms of nocardiosis
00240 A439    1 Nocardiosis, unspecified                                     Nocardiosis, unspecified
00241 A44     0 Bartonellosis                                                Bartonellosis
00242 A440    1 Systemic bartonellosis                                       Systemic bartonellosis
00243 A441    1 Cutaneous and mucocutaneous bartonellosis                    Cutaneous and mucocutaneous bartonellosis
00244 A448    1 Other forms of bartonellosis                                 Other forms of bartonellosis
00245 A449    1 Bartonellosis, unspecified                                   Bartonellosis, unspecified
00246 A46     1 Erysipelas                                                   Erysipelas
00247 A48     0 Other bacterial diseases, not elsewhere classified           Other bacterial diseases, not elsewhere classified
00248 A480    1 Gas gangrene                                                 Gas gangrene
00249 A481    1 Legionnaires' disease                                        Legionnaires' disease
00250 A482    1 Nonpneumonic Legionnaires' disease [Pontiac fever]           Nonpneumonic Legionnaires' disease [Pontiac fever]
00251 A483    1 Toxic shock syndrome                                         Toxic shock syndrome
00252 A484    1 Brazilian purpuric fever                                     Brazilian purpuric fever
00253 A488    1 Other specified bacterial diseases                           Other specified bacterial diseases
00254 A49     0 Bacterial infection of unspecified site                      Bacterial infection of unspecified site
00255 A490    1 Staphylococcal infection, unspecified                        Staphylococcal infection, unspecified
00256 A491    1 Streptococcal infection, unspecified                         Streptococcal infection, unspecified
00257 A492    1 Haemophilus influenzae infection, unspecified                Haemophilus influenzae infection, unspecified
00258 A493    1 Mycoplasma infection, unspecified                            Mycoplasma infection, unspecified
00259 A498    1 Other bacterial infections of unspecified site               Other bacterial infections of unspecified site
00260 A499    1 Bacterial infection, unspecified                             Bacterial infection, unspecified
00261 A50     0 Congenital syphilis                                          Congenital syphilis
00262 A500    1 Early congenital syphilis, symptomatic                       Early congenital syphilis, symptomatic
00263 A501    1 Early congenital syphilis, latent                            Early congenital syphilis, latent
00264 A502    1 Early congenital syphilis, unspecified                       Early congenital syphilis, unspecified
00265 A503    1 Late congenital syphilitic oculopathy                        Late congenital syphilitic oculopathy
00266 A504    1 Late congenital neurosyphilis [juvenile neurosyphi           Late congenital neurosyphilis [juvenile neurosyphilis]
00267 A505    1 Other late congenital syphilis, symptomatic                  Other late congenital syphilis, symptomatic
00268 A506    1 Late congenital syphilis, latent                             Late congenital syphilis, latent
00269 A507    1 Late congenital syphilis, unspecified                        Late congenital syphilis, unspecified
00270 A509    1 Congenital syphilis, unspecified                             Congenital syphilis, unspecified
00271 A51     0 Early syphilis                                               Early syphilis
00272 A510    1 Primary genital syphilis                                     Primary genital syphilis
00273 A511    1 Primary anal syphilis                                        Primary anal syphilis
00274 A512    1 Primary syphilis of other sites                              Primary syphilis of other sites
00275 A513    1 Secondary syphilis of skin and mucous membranes              Secondary syphilis of skin and mucous membranes
00276 A514    1 Other secondary syphilis                                     Other secondary syphilis
00277 A515    1 Early syphilis, latent                                       Early syphilis, latent
00278 A519    1 Early syphilis, unspecified                                  Early syphilis, unspecified
00279 A52     0 Late syphilis                                                Late syphilis
00280 A520    1 Cardiovascular syphilis                                      Cardiovascular syphilis
00281 A521    1 Symptomatic neurosyphilis                                    Symptomatic neurosyphilis
00282 A522    1 Asymptomatic neurosyphilis                                   Asymptomatic neurosyphilis
00283 A523    1 Neurosyphilis, unspecified                                   Neurosyphilis, unspecified
00284 A527    1 Other symptomatic late syphilis                              Other symptomatic late syphilis
00285 A528    1 Late syphilis, latent                                        Late syphilis, latent
00286 A529    1 Late syphilis, unspecified                                   Late syphilis, unspecified
00287 A53     0 Other and unspecified syphilis                               Other and unspecified syphilis
00288 A530    1 Latent syphilis, unspecified as early or late                Latent syphilis, unspecified as early or late
00289 A539    1 Syphilis, unspecified                                        Syphilis, unspecified
00290 A54     0 Gonococcal infection                                         Gonococcal infection
00291 A540    1 Gonococcal infection of lower genito-urinary tract           Gonococcal infection of lower genito-urinary tract without periurethral or accessory gland abscess
00292 A541    1 Gonococcal infection of lower genito-urinary tract           Gonococcal infection of lower genito-urinary tract with periurethral and accessory gland abscess
00293 A542    1 Gonococcal pelviperitonitis and other gonococcal g           Gonococcal pelviperitonitis and other gonococcal genito-urinary infections
00294 A543    1 Gonococcal infection of eye                                  Gonococcal infection of eye
00295 A544    1 Gonococcal infection of musculoskeletal system               Gonococcal infection of musculoskeletal system
00296 A545    1 Gonococcal pharyngitis                                       Gonococcal pharyngitis
00297 A546    1 Gonococcal infection of anus and rectum                      Gonococcal infection of anus and rectum
00298 A548    1 Other gonococcal infections                                  Other gonococcal infections
00299 A549    1 Gonococcal infection, unspecified                            Gonococcal infection, unspecified
00300 A55     1 Chlamydial lymphogranuloma (venereum)                        Chlamydial lymphogranuloma (venereum)
00301 A56     0 Other sexually transmitted chlamydial diseases               Other sexually transmitted chlamydial diseases
00302 A560    1 Chlamydial infection of lower genito-urinary tract           Chlamydial infection of lower genito-urinary tract
00303 A561    1 Chlamydial infection of pelviperitoneum and other            Chlamydial infection of pelviperitoneum and other genito-urinary organs
00304 A562    1 Chlamydial infection of genito-urinary tract, unsp           Chlamydial infection of genito-urinary tract, unspecified
00305 A563    1 Chlamydial infection of anus and rectum                      Chlamydial infection of anus and rectum
00306 A564    1 Chlamydial infection of pharynx                              Chlamydial infection of pharynx
00307 A568    1 Sexually transmitted chlamydial infection of other           Sexually transmitted chlamydial infection of other sites
00308 A57     1 Chancroid                                                    Chancroid
00309 A58     1 Granuloma inguinale                                          Granuloma inguinale
00310 A59     0 Trichomoniasis                                               Trichomoniasis
00311 A590    1 Urogenital trichomoniasis                                    Urogenital trichomoniasis
00312 A598    1 Trichomoniasis of other sites                                Trichomoniasis of other sites
00313 A599    1 Trichomoniasis, unspecified                                  Trichomoniasis, unspecified
00314 A60     0 Anogenital herpesviral [herpes simplex] infections           Anogenital herpesviral [herpes simplex] infections
00315 A600    1 Herpesviral infection of genitalia and urogenital            Herpesviral infection of genitalia and urogenital tract
00316 A601    1 Herpesviral infection of perianal skin and rectum            Herpesviral infection of perianal skin and rectum
00317 A609    1 Anogenital herpesviral infection, unspecified                Anogenital herpesviral infection, unspecified
00318 A63     0 Other predominantly sexually transmitted diseases,           Other predominantly sexually transmitted diseases, not elsewhere classified
00319 A630    1 Anogenital (venereal) warts                                  Anogenital (venereal) warts
00320 A638    1 Other specified predominantly sexually transmitted           Other specified predominantly sexually transmitted diseases
00321 A64     1 Unspecified sexually transmitted disease                     Unspecified sexually transmitted disease
00322 A65     1 Non-venereal syphilis                                        Non-venereal syphilis
00323 A66     0 Yaws                                                         Yaws
00324 A660    1 Initial lesions of yaws                                      Initial lesions of yaws
00325 A661    1 Multiple papillomata and wet crab yaws                       Multiple papillomata and wet crab yaws
00326 A662    1 Other early skin lesions of yaws                             Other early skin lesions of yaws
00327 A663    1 Hyperkeratosis of yaws                                       Hyperkeratosis of yaws
00328 A664    1 Gummata and ulcers of yaws                                   Gummata and ulcers of yaws
00329 A665    1 Gangosa                                                      Gangosa
00330 A666    1 Bone and joint lesions of yaws                               Bone and joint lesions of yaws
00331 A667    1 Other manifestations of yaws                                 Other manifestations of yaws
00332 A668    1 Latent yaws                                                  Latent yaws
00333 A669    1 Yaws, unspecified                                            Yaws, unspecified
00334 A67     0 Pinta [carate]                                               Pinta [carate]
00335 A670    1 Primary lesions of pinta                                     Primary lesions of pinta
00336 A671    1 Intermediate lesions of pinta                                Intermediate lesions of pinta
00337 A672    1 Late lesions of pinta                                        Late lesions of pinta
00338 A673    1 Mixed lesions of pinta                                       Mixed lesions of pinta
00339 A679    1 Pinta, unspecified                                           Pinta, unspecified
00340 A68     0 Relapsing fevers                                             Relapsing fevers
00341 A680    1 Louse-borne relapsing fever                                  Louse-borne relapsing fever
00342 A681    1 Tick-borne relapsing fever                                   Tick-borne relapsing fever
00343 A689    1 Relapsing fever, unspecified                                 Relapsing fever, unspecified
00344 A69     0 Other spirochaetal infections                                Other spirochaetal infections
00345 A690    1 Necrotising ulcerative stomatitis                            Necrotising ulcerative stomatitis
00346 A691    1 Other Vincent's infections                                   Other Vincent's infections
00347 A692    1 Lyme disease                                                 Lyme disease
00348 A698    1 Other specified spirochaetal infections                      Other specified spirochaetal infections
00349 A699    1 Spirochaetal infection, unspecified                          Spirochaetal infection, unspecified
00350 A70     1 Chlamydia psittaci infection                                 Chlamydia psittaci infection
00351 A71     0 Trachoma                                                     Trachoma
00352 A710    1 Initial stage of trachoma                                    Initial stage of trachoma
00353 A711    1 Active stage of trachoma                                     Active stage of trachoma
00354 A719    1 Trachoma, unspecified                                        Trachoma, unspecified
00355 A74     0 Other diseases caused by chlamydiae                          Other diseases caused by chlamydiae
00356 A740    1 Chlamydial conjunctivitis                                    Chlamydial conjunctivitis
00357 A748    1 Other chlamydial diseases                                    Other chlamydial diseases
00358 A749    1 Chlamydial infection, unspecified                            Chlamydial infection, unspecified
00359 A75     0 Typhus fever                                                 Typhus fever
00360 A750    1 Epidemic louse-borne typhus fever due to Rickettsi           Epidemic louse-borne typhus fever due to Rickettsia prowazekii
00361 A751    1 Recrudescent typhus [Brill's disease]                        Recrudescent typhus [Brill's disease]
00362 A752    1 Typhus fever due to Rickettsia typhi                         Typhus fever due to Rickettsia typhi
00363 A753    1 Typhus fever due to Rickettsia tsutsugamushi                 Typhus fever due to Rickettsia tsutsugamushi
00364 A759    1 Typhus fever, unspecified                                    Typhus fever, unspecified
00365 A77     0 Spotted fever [tick-borne rickettsioses]                     Spotted fever [tick-borne rickettsioses]
00366 A770    1 Spotted fever due to Rickettsia rickettsii                   Spotted fever due to Rickettsia rickettsii
00367 A771    1 Spotted fever due to Rickettsia conorii                      Spotted fever due to Rickettsia conorii
00368 A772    1 Spotted fever due to Rickettsia siberica                     Spotted fever due to Rickettsia siberica
00369 A773    1 Spotted fever due to Rickettsia australis                    Spotted fever due to Rickettsia australis
